file rG rSD pval t1 t2 trait1 trait2 origorder1 origorder2 fdr meas
GENCX-05-10-reorder-cut0025.hsq 0.031011 0.215721 0.44354 05 10 R_Superior-temporal-sulcus L_Anterior-cingulate_Subcallosal 05 10 0.467515135135135 area
GENCX-05-11-reorder-cut0025.hsq -0.078142 0.112099 0.24134 05 11 R_Superior-temporal-sulcus L_Anterior-insula 05 11 0.334291578947368 area
GENCX-05-12-reorder-cut0025.hsq -0.244278 0.165382 0.065038 05 12 R_Superior-temporal-sulcus L_Retrosplenial-cortex 05 12 0.149204823529412 area
GENCX-05-13-reorder-cut0025.hsq 0.104128 0.268874 0.34705 05 13 R_Superior-temporal-sulcus L_Temporal-pole_Inferior-temporal-gyrus 05 13 0.403604117647059 area
GENCX-05-14-reorder-cut0025.hsq -0.329751 0.288949 0.11462 05 14 R_Superior-temporal-sulcus L_Superior-frontal-gyrus 05 14 0.208189090909091 area
GENCX-06-07-reorder-cut0025.hsq 0.576631 0.188884 0.0045556 06 07 R_Superior-frontal-gyrus R_Gyrus-rectus 06 07 0.0273336 area
GENCX-06-08-reorder-cut0025.hsq 0.426516 0.215756 0.01545 06 08 R_Superior-frontal-gyrus L_Postcentral-gyrus_Supramarginal 06 08 0.0634263157894737 area
GENCX-06-09-reorder-cut0025.hsq 0.332419 0.262945 0.099248 06 09 R_Superior-frontal-gyrus L_Anterior-temporal_Parahippocampal-gyrus 06 09 0.19402305 area
GENCX-06-10-reorder-cut0025.hsq -0.303705 0.250605 0.16464 06 10 R_Superior-frontal-gyrus L_Anterior-cingulate_Subcallosal 06 10 0.26208 area
GENCX-06-11-reorder-cut0025.hsq -0.861512 0.239617 1.5543e-08 06 11 R_Superior-frontal-gyrus L_Anterior-insula 06 11 1.212354e-06 area
GENCX-06-12-reorder-cut0025.hsq -0.250139 0.215126 0.11715 06 12 R_Superior-frontal-gyrus L_Retrosplenial-cortex 06 12 0.208189090909091 area
GENCX-06-13-reorder-cut0025.hsq 0.058344 0.350227 0.43374 06 13 R_Superior-frontal-gyrus L_Temporal-pole_Inferior-temporal-gyrus 06 13 0.463448219178082 area
GENCX-06-14-reorder-cut0025.hsq 0.873933 0.474515 0.011122 06 14 R_Superior-frontal-gyrus L_Superior-frontal-gyrus 06 14 0.0539530588235294 area
GENCX-07-08-reorder-cut0025.hsq 0.05259 0.138349 0.35186 07 08 R_Gyrus-rectus L_Postcentral-gyrus_Supramarginal 07 08 0.403604117647059 area
GENCX-07-09-reorder-cut0025.hsq -0.123536 0.177972 0.24429 07 09 R_Gyrus-rectus L_Anterior-temporal_Parahippocampal-gyrus 07 09 0.334291578947368 area
GENCX-07-10-reorder-cut0025.hsq -0.127784 0.1955 0.26696 07 10 R_Gyrus-rectus L_Anterior-cingulate_Subcallosal 07 10 0.352930169491525 area
GENCX-07-11-reorder-cut0025.hsq -0.415343 0.109952 2.5522e-05 07 11 R_Gyrus-rectus L_Anterior-insula 07 11 0.000663572 area
GENCX-07-12-reorder-cut0025.hsq -0.205156 0.147794 0.080917 07 12 R_Gyrus-rectus L_Retrosplenial-cortex 07 12 0.170581783783784 area
GENCX-07-13-reorder-cut0025.hsq 0.212224 0.254878 0.19199 07 13 R_Gyrus-rectus L_Temporal-pole_Inferior-temporal-gyrus 07 13 0.28418 area
GENCX-07-14-reorder-cut0025.hsq 0.224357 0.271401 0.18971 07 14 R_Gyrus-rectus L_Superior-frontal-gyrus 07 14 0.28418 area
GENCX-08-09-reorder-cut0025.hsq 0.513812 0.169195 0.0010976 08 09 L_Postcentral-gyrus_Supramarginal L_Anterior-temporal_Parahippocampal-gyrus 08 09 0.0115743333333333 area
GENCX-08-10-reorder-cut0025.hsq -0.350865 0.191641 0.030601 08 10 L_Postcentral-gyrus_Supramarginal L_Anterior-cingulate_Subcallosal 08 10 0.103777304347826 area
GENCX-08-11-reorder-cut0025.hsq 0.171427 0.096239 0.036544 08 11 L_Postcentral-gyrus_Supramarginal L_Anterior-insula 08 11 0.11241 area
GENCX-08-12-reorder-cut0025.hsq 0.21401 0.132273 0.058781 08 12 L_Postcentral-gyrus_Supramarginal L_Retrosplenial-cortex 08 12 0.148735935483871 area
GENCX-08-13-reorder-cut0025.hsq 0.186656 0.228729 0.20671 08 13 L_Postcentral-gyrus_Supramarginal L_Temporal-pole_Inferior-temporal-gyrus 08 13 0.293152363636364 area
GENCX-08-14-reorder-cut0025.hsq 0.2722 0.256895 0.1316 08 14 L_Postcentral-gyrus_Supramarginal L_Superior-frontal-gyrus 08 14 0.21688875 area
GENCX-09-10-reorder-cut0025.hsq 0.551304 0.269733 0.011425 09 10 L_Anterior-temporal_Parahippocampal-gyrus L_Anterior-cingulate_Subcallosal 09 10 0.0539530588235294 area
GENCX-09-11-reorder-cut0025.hsq -0.083492 0.125892 0.24995 09 11 L_Anterior-temporal_Parahippocampal-gyrus L_Anterior-insula 09 11 0.336139655172414 area
GENCX-09-12-reorder-cut0025.hsq 0.032648 0.174477 0.42725 09 12 L_Anterior-temporal_Parahippocampal-gyrus L_Retrosplenial-cortex 09 12 0.463448219178082 area
GENCX-09-13-reorder-cut0025.hsq 0.50411 0.354913 0.044114 09 13 L_Anterior-temporal_Parahippocampal-gyrus L_Temporal-pole_Inferior-temporal-gyrus 09 13 0.118651448275862 area
GENCX-09-14-reorder-cut0025.hsq 0.165046 0.307743 0.29872 09 14 L_Anterior-temporal_Parahippocampal-gyrus L_Superior-frontal-gyrus 09 14 0.36984380952381 area
GENCX-10-11-reorder-cut0025.hsq 0.418882 0.15105 0.0012045 10 11 L_Anterior-cingulate_Subcallosal L_Anterior-insula 10 11 0.0115743333333333 area
GENCX-10-12-reorder-cut0025.hsq 0.019287 0.197949 0.4618 10 12 L_Anterior-cingulate_Subcallosal L_Retrosplenial-cortex 10 12 0.469762597402597 area
GENCX-10-13-reorder-cut0025.hsq -0.161927 0.336488 0.31513 10 13 L_Anterior-cingulate_Subcallosal L_Temporal-pole_Inferior-temporal-gyrus 10 13 0.3840646875 area
GENCX-10-14-reorder-cut0025.hsq -0.708582 0.391747 0.019812 10 14 L_Anterior-cingulate_Subcallosal L_Superior-frontal-gyrus 10 14 0.0735874285714286 area
GENCX-11-12-reorder-cut0025.hsq 0.395456 0.099919 4.5006e-05 11 12 L_Anterior-insula L_Retrosplenial-cortex 11 12 0.000877617 area
GENCX-11-13-reorder-cut0025.hsq 0.435656 0.208807 0.0053337 11 13 L_Anterior-insula L_Temporal-pole_Inferior-temporal-gyrus 11 13 0.0297163285714286 area
GENCX-11-14-reorder-cut0025.hsq -0.26051 0.196735 0.074088 11 14 L_Anterior-insula L_Superior-frontal-gyrus 11 14 0.162393833333333 area
GENCX-12-13-reorder-cut0025.hsq 0.007859 0.241305 0.48714 12 13 L_Retrosplenial-cortex L_Temporal-pole_Inferior-temporal-gyrus 12 13 0.48714 area
