direct ROI Cluster a2 pA c2 e2 LLACE LLCE a2revise pArevise e2revise LLAE LLE rMZ rDZsibPairs
0 1 lh.area 0.772_(0.6536_-_0.872) 3.4164701798439e-32 0.152 0.076 2471.2 2610.7 0.922_(0.9_-_0.939) 5.04670854609131e-103 0.076 2476.4 2940.9 0.912 0.558
0 2 rh.area 0.796_(0.67649_-_0.927) 3.05171458773941e-34 0.131 0.073 2469.7 2618.6 0.926_(0.905_-_0.941) 1.22226619551939e-103 0.073 2473.5 2940.9 0.916 0.547
0 3 lh.thickness 0.773_(0.61992_-_0.846) 6.96029635528671e-17 0.033 0.194 2666.6 2736.3 0.807_(0.755_-_0.847) 1.48215756987637e-61 0.194 2666.8 2940.9 0.806 0.458
0 4 rh.thickness 0.79_(0.63763_-_0.854) 1.31792703526935e-17 0.025 0.185 2662.5 2735.5 0.816_(0.766_-_0.855) 1.82537754102347e-62 0.185 2662.6 2940.9 0.815 0.456
0 5 diff.area 0.16_(0_-_0.285) 0.459767391909559 0.004 0.836 2931.9 2932.4 0.167_(0.056_-_0.285) 0.00270775699170883 0.836 2931.9 2940.9 0.124 0.035
0 6 diff.thickness 0.083_(0_-_0.269) 0.619040750032772 0.054 0.864 2931.6 2931.9 0.163_(0.055_-_0.274) 0.00271447377339758 0.864 2931.9 2940.9 0.131 0.074
0 7 AI.area 0.133_(0_-_0.276) 0.511565722290759 0.017 0.85 2932.3 2932.8 0.161_(0.051_-_0.276) 0.00351937963491879 0.85 2932.4 2940.9 0.125 0.036
0 8 AI.thickness 0.082_(0_-_0.267) 0.620728203249483 0.053 0.865 2931.8 2932.1 0.162_(0.053_-_0.272) 0.00303641959985515 0.865 2932.1 2940.9 0.13 0.072
