direct ROI Cluster a2 pA c2 e2 LLACE LLCE
0 1 lh.area 0.772_(0.6536_-_0.872) 0 0.152 0.076 2471.2 2610.7
0 2 rh.area 0.796_(0.67649_-_0.927) 0 0.131 0.073 2469.7 2618.6
0 3 lh.thickness 0.16_(0_-_0.285) 0.46 0.004 0.836 2931.9 2932.4
0 4 rh.thickness 0.133_(0_-_0.276) 0.512 0.017 0.85 2932.3 2932.8
0 5 diff.area 0.773_(0.61992_-_0.846) 0 0.033 0.194 2666.6 2736.3
0 6 diff.thickness 0.79_(0.63763_-_0.854) 0 0.025 0.185 2662.5 2735.5
0 7 AI.area 0.083_(0_-_0.269) 0.619 0.054 0.864 2931.6 2931.9
0 8 AI.thickness 0.082_(0_-_0.267) 0.621 0.053 0.865 2931.8 2932.1
