Sub_ID age hemi ageHemi sex_demean
sub-031275 10.2558139534884 1 10.2558139534884 -0.365448504983389
sub-031275 10.2558139534884 0 0 -0.365448504983389
sub-031285 20.2558139534884 1 20.2558139534884 0.634551495016611
sub-031285 20.2558139534884 0 0 0.634551495016611
sub-031288 19.2558139534884 1 19.2558139534884 -0.365448504983389
sub-031288 19.2558139534884 0 0 -0.365448504983389
sub-031290 19.2558139534884 1 19.2558139534884 -0.365448504983389
sub-031290 19.2558139534884 0 0 -0.365448504983389
sub-031291 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031291 11.2558139534884 0 0 -0.365448504983389
sub-031292 15.2558139534884 1 15.2558139534884 -0.365448504983389
sub-031292 15.2558139534884 0 0 -0.365448504983389
sub-031293 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031293 11.2558139534884 0 0 -0.365448504983389
sub-031296 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031296 11.2558139534884 0 0 -0.365448504983389
sub-031315 18.2558139534884 1 18.2558139534884 0.634551495016611
sub-031315 18.2558139534884 0 0 0.634551495016611
sub-031336 17.2558139534884 1 17.2558139534884 -0.365448504983389
sub-031336 17.2558139534884 0 0 -0.365448504983389
sub-031344 12.2558139534884 1 12.2558139534884 0.634551495016611
sub-031344 12.2558139534884 0 0 0.634551495016611
sub-031349 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031349 11.2558139534884 0 0 -0.365448504983389
sub-031351 18.2558139534884 1 18.2558139534884 -0.365448504983389
sub-031351 18.2558139534884 0 0 -0.365448504983389
sub-031355 20.2558139534884 1 20.2558139534884 -0.365448504983389
sub-031355 20.2558139534884 0 0 -0.365448504983389
sub-031356 16.2558139534884 1 16.2558139534884 -0.365448504983389
sub-031356 16.2558139534884 0 0 -0.365448504983389
sub-031357 8.25581395348837 1 8.25581395348837 -0.365448504983389
sub-031357 8.25581395348837 0 0 -0.365448504983389
sub-031358 15.2558139534884 1 15.2558139534884 -0.365448504983389
sub-031358 15.2558139534884 0 0 -0.365448504983389
sub-031371 19.2558139534884 1 19.2558139534884 0.634551495016611
sub-031371 19.2558139534884 0 0 0.634551495016611
sub-031372 20.2558139534884 1 20.2558139534884 -0.365448504983389
sub-031372 20.2558139534884 0 0 -0.365448504983389
sub-031375 4.25581395348837 1 4.25581395348837 -0.365448504983389
sub-031375 4.25581395348837 0 0 -0.365448504983389
sub-031376 15.2558139534884 1 15.2558139534884 -0.365448504983389
sub-031376 15.2558139534884 0 0 -0.365448504983389
sub-031377 13.2558139534884 1 13.2558139534884 -0.365448504983389
sub-031377 13.2558139534884 0 0 -0.365448504983389
sub-031379 15.2558139534884 1 15.2558139534884 -0.365448504983389
sub-031379 15.2558139534884 0 0 -0.365448504983389
sub-031387 17.2558139534884 1 17.2558139534884 -0.365448504983389
sub-031387 17.2558139534884 0 0 -0.365448504983389
sub-031410 17.2558139534884 1 17.2558139534884 -0.365448504983389
sub-031410 17.2558139534884 0 0 -0.365448504983389
sub-031415 16.2558139534884 1 16.2558139534884 -0.365448504983389
sub-031415 16.2558139534884 0 0 -0.365448504983389
sub-031421 7.25581395348837 1 7.25581395348837 0.634551495016611
sub-031421 7.25581395348837 0 0 0.634551495016611
sub-031426 20.2558139534884 1 20.2558139534884 -0.365448504983389
sub-031426 20.2558139534884 0 0 -0.365448504983389
sub-031432 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031432 11.2558139534884 0 0 -0.365448504983389
sub-031436 17.2558139534884 1 17.2558139534884 -0.365448504983389
sub-031436 17.2558139534884 0 0 -0.365448504983389
sub-031437 -3.74418604651163 1 -3.74418604651163 -0.365448504983389
sub-031437 -3.74418604651163 0 0 -0.365448504983389
sub-031439 15.2558139534884 1 15.2558139534884 -0.365448504983389
sub-031439 15.2558139534884 0 0 -0.365448504983389
sub-031442 14.2558139534884 1 14.2558139534884 -0.365448504983389
sub-031442 14.2558139534884 0 0 -0.365448504983389
sub-031453 15.2558139534884 1 15.2558139534884 -0.365448504983389
sub-031453 15.2558139534884 0 0 -0.365448504983389
sub-031454 19.2558139534884 1 19.2558139534884 -0.365448504983389
sub-031454 19.2558139534884 0 0 -0.365448504983389
sub-031457 0.255813953488371 1 0.255813953488371 -0.365448504983389
sub-031457 0.255813953488371 0 0 -0.365448504983389
sub-031458 10.2558139534884 1 10.2558139534884 -0.365448504983389
sub-031458 10.2558139534884 0 0 -0.365448504983389
sub-031463 17.2558139534884 1 17.2558139534884 -0.365448504983389
sub-031463 17.2558139534884 0 0 -0.365448504983389
sub-031465 -9.74418604651163 1 -9.74418604651163 0.634551495016611
sub-031465 -9.74418604651163 0 0 0.634551495016611
sub-031466 -10.7441860465116 1 -10.7441860465116 -0.365448504983389
sub-031466 -10.7441860465116 0 0 -0.365448504983389
sub-031467 -9.74418604651163 1 -9.74418604651163 0.634551495016611
sub-031467 -9.74418604651163 0 0 0.634551495016611
sub-031468 -11.7441860465116 1 -11.7441860465116 0.634551495016611
sub-031468 -11.7441860465116 0 0 0.634551495016611
sub-031469 -11.7441860465116 1 -11.7441860465116 0.634551495016611
sub-031469 -11.7441860465116 0 0 0.634551495016611
sub-031470 -11.7441860465116 1 -11.7441860465116 -0.365448504983389
sub-031470 -11.7441860465116 0 0 -0.365448504983389
sub-031471 -10.7441860465116 1 -10.7441860465116 -0.365448504983389
sub-031471 -10.7441860465116 0 0 -0.365448504983389
sub-031472 -10.7441860465116 1 -10.7441860465116 0.634551495016611
sub-031472 -10.7441860465116 0 0 0.634551495016611
sub-031473 -13.7441860465116 1 -13.7441860465116 0.634551495016611
sub-031473 -13.7441860465116 0 0 0.634551495016611
sub-031474 -9.74418604651163 1 -9.74418604651163 -0.365448504983389
sub-031474 -9.74418604651163 0 0 -0.365448504983389
sub-031475 -12.7441860465116 1 -12.7441860465116 -0.365448504983389
sub-031475 -12.7441860465116 0 0 -0.365448504983389
sub-031476 -10.7441860465116 1 -10.7441860465116 0.634551495016611
sub-031476 -10.7441860465116 0 0 0.634551495016611
sub-031477 -6.74418604651163 1 -6.74418604651163 -0.365448504983389
sub-031477 -6.74418604651163 0 0 -0.365448504983389
sub-031478 -11.7441860465116 1 -11.7441860465116 -0.365448504983389
sub-031478 -11.7441860465116 0 0 -0.365448504983389
sub-031479 20.2558139534884 1 20.2558139534884 -0.365448504983389
sub-031479 20.2558139534884 0 0 -0.365448504983389
sub-031480 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031480 11.2558139534884 0 0 -0.365448504983389
sub-031481 -12.7441860465116 1 -12.7441860465116 0.634551495016611
sub-031481 -12.7441860465116 0 0 0.634551495016611
sub-031482 16.2558139534884 1 16.2558139534884 -0.365448504983389
sub-031482 16.2558139534884 0 0 -0.365448504983389
sub-031485 -3.74418604651163 1 -3.74418604651163 0.634551495016611
sub-031485 -3.74418604651163 0 0 0.634551495016611
sub-031486 10.2558139534884 1 10.2558139534884 0.634551495016611
sub-031486 10.2558139534884 0 0 0.634551495016611
sub-031487 -6.74418604651163 1 -6.74418604651163 0.634551495016611
sub-031487 -6.74418604651163 0 0 0.634551495016611
sub-031489 7.25581395348837 1 7.25581395348837 -0.365448504983389
sub-031489 7.25581395348837 0 0 -0.365448504983389
sub-031490 -6.74418604651163 1 -6.74418604651163 0.634551495016611
sub-031490 -6.74418604651163 0 0 0.634551495016611
sub-031491 13.2558139534884 1 13.2558139534884 -0.365448504983389
sub-031491 13.2558139534884 0 0 -0.365448504983389
sub-031493 1.25581395348837 1 1.25581395348837 0.634551495016611
sub-031493 1.25581395348837 0 0 0.634551495016611
sub-031494 19.2558139534884 1 19.2558139534884 0.634551495016611
sub-031494 19.2558139534884 0 0 0.634551495016611
sub-031495 11.2558139534884 1 11.2558139534884 -0.365448504983389
sub-031495 11.2558139534884 0 0 -0.365448504983389
sub-031496 14.2558139534884 1 14.2558139534884 -0.365448504983389
sub-031496 14.2558139534884 0 0 -0.365448504983389
sub-031498 -0.744186046511629 1 -0.744186046511629 0.634551495016611
sub-031498 -0.744186046511629 0 0 0.634551495016611
sub-031499 18.2558139534884 1 18.2558139534884 0.634551495016611
sub-031499 18.2558139534884 0 0 0.634551495016611
sub-031500 14.2558139534884 1 14.2558139534884 0.634551495016611
sub-031500 14.2558139534884 0 0 0.634551495016611
sub-031501 -7.74418604651163 1 -7.74418604651163 -0.365448504983389
sub-031501 -7.74418604651163 0 0 -0.365448504983389
sub-031502 -8.74418604651163 1 -8.74418604651163 -0.365448504983389
sub-031502 -8.74418604651163 0 0 -0.365448504983389
sub-031503 -8.74418604651163 1 -8.74418604651163 -0.365448504983389
sub-031503 -8.74418604651163 0 0 -0.365448504983389
sub-031504 12.2558139534884 1 12.2558139534884 -0.365448504983389
sub-031504 12.2558139534884 0 0 -0.365448504983389
sub-031506 -6.74418604651163 1 -6.74418604651163 -0.365448504983389
sub-031506 -6.74418604651163 0 0 -0.365448504983389
sub-031507 16.2558139534884 1 16.2558139534884 -0.365448504983389
sub-031507 16.2558139534884 0 0 -0.365448504983389
sub-031508 -0.744186046511629 1 -0.744186046511629 0.634551495016611
sub-031508 -0.744186046511629 0 0 0.634551495016611
sub-031509 -7.74418604651163 1 -7.74418604651163 -0.365448504983389
sub-031509 -7.74418604651163 0 0 -0.365448504983389
sub-031510 -6.74418604651163 1 -6.74418604651163 -0.365448504983389
sub-031510 -6.74418604651163 0 0 -0.365448504983389
sub-031511 17.2558139534884 1 17.2558139534884 0.634551495016611
sub-031511 17.2558139534884 0 0 0.634551495016611
sub-031513 15.2558139534884 1 15.2558139534884 0.634551495016611
sub-031513 15.2558139534884 0 0 0.634551495016611
sub-031514 16.2558139534884 1 16.2558139534884 0.634551495016611
sub-031514 16.2558139534884 0 0 0.634551495016611
