PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11
Proportion of Variance 0.392 0.089 0.078 0.069 0.067 0.061 0.058 0.054 0.049 0.047 0.036
Cumulative Proportion 0.392 0.481 0.559 0.628 0.695 0.756 0.814 0.868 0.917 0.964 1
